,Date,Standard_YoY,Northeast,Midwest,South,West
0,2001-01-01,3.7212049616065945,3.4052213393870545,4.244996967859316,3.168799512492404,4.269005847953222
1,2001-02-01,3.529411764705892,2.9279279279279313,3.73719107896322,3.2766990291261955,4.244186046511644
2,2001-03-01,2.9824561403508643,2.9131652661064322,2.752842609216044,2.462462462462467,3.804034582132565
3,2001-04-01,3.2182562902282053,3.1932773109243584,3.473053892215572,2.8194361127774625,3.857225100748418
4,2001-05-01,3.5630841121495394,3.4753363228699596,4.0000000000000036,2.9994001199760145,4.195402298850581
5,2001-06-01,3.193960511033689,3.519553072625703,2.416028285209215,2.8059701492537226,4.417670682730912
6,2001-07-01,2.7214823393167498,2.8921023359288034,2.1919431279620705,2.1428571428571352,3.8812785388127935
7,2001-08-01,2.7214823393167498,2.8904947192884833,2.853745541022601,2.083333333333326,3.4110289937464566
8,2001-09-01,2.5921658986175045,2.434975096845604,2.70588235294118,2.1958456973293794,3.3408833522083903
9,2001-10-01,2.127659574468077,2.0971302428256067,1.4697236919459122,1.8991097922848699,2.990970654627545
10,2001-11-01,1.894374282433997,1.9283746556473913,1.2918379330592922,1.4234875444839812,2.8781038374718015
11,2001-12-01,1.603665521191311,1.599558742415863,0.9988249118684012,1.128266033254155,2.540937323546011
12,2002-01-01,1.1958997722095743,1.4818880351262553,0.11634671320535084,0.7678676904902426,2.29949523275379
13,2002-02-01,1.1363636363636465,1.8052516411378505,0.23242300987798004,0.4700352526439522,2.175125488008911
14,2002-03-01,1.3628620102214661,1.7964071856287456,1.106581246359939,0.8792497069167737,2.1654636313159337
15,2002-04-01,1.643990929705219,1.954397394136831,1.0995370370370239,0.9918319719953272,2.6053215077605163
16,2002-05-01,1.2408347433727984,1.679306608884068,0.3444316877152742,0.873616773442043,1.9305019305019266
17,2002-06-01,1.0692177827799743,1.3491635186184459,0.8630609896432606,0.7549361207897842,1.3736263736263687
18,2002-07-01,1.465614430665152,1.7837837837837878,1.6231884057971158,1.1655011655011593,1.4835164835164782
19,2002-08-01,1.747463359639223,2.269043760129663,1.6184971098266,1.3411078717201264,1.869158878504673
20,2002-09-01,1.516002245929271,2.377093462992974,0.9163802978235935,1.1614401858304202,1.7534246575342305
21,2002-10-01,2.0270270270270174,2.648648648648644,2.1436848203939762,1.8637157833430562,1.8082191780822043
22,2002-11-01,2.2535211267605604,2.756756756756751,2.086956521739136,2.280701754385972,1.9199122325836537
23,2002-12-01,2.4802705749718212,2.931596091205213,2.0942408376963373,2.524955960070452,2.1475770925110105
