,Date,Housing_YoY,Housing_Index,Food_YoY,Food_Index,Transportation_YoY,Transportation_Index,Medical Care_YoY,Medical Care_Index,Education_YoY,Education_Index,Communication_YoY,Communication_Index,Recreation_YoY,Recreation_Index,Apparel_YoY,Apparel_Index,other_goods_YoY,other_goods_Index,Energy_YoY,Energy_Index
0,2000-01-01,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0
1,2000-02-01,,100.48048048048048,,100.3612281757977,,100.60362173038229,,100.35211267605635,,100.45495905368517,,98.64583333333333,,100.09775171065493,,99.77046671767408,,100.71752265861026,,103.30434782608695
2,2000-03-01,,100.72072072072072,,100.60204695966286,,103.01810865191148,,100.82159624413146,,100.90991810737033,,98.125,,100.39100684261975,,99.69395562356543,,101.13293051359517,,108.08695652173913
3,2000-04-01,,100.84084084084084,,100.66225165562915,,102.01207243460763,,101.09546165884194,,101.36487716105552,,97.70833333333333,,100.29325513196481,,99.3114001530222,,102.60574018126887,,105.1304347826087
4,2000-05-01,,101.0810810810811,,101.02347983142685,,101.94500335345407,,101.40845070422534,,101.81983621474066,,97.60416666666667,,100.68426197458456,,99.23488905891354,,101.96374622356494,,104.34782608695652
5,2000-06-01,,101.6216216216216,,101.14388922335942,,103.9570757880617,,101.83881064162755,,102.54777070063695,,96.45833333333333,,101.0752688172043,,98.92884468247898,,101.7749244712991,,110.26086956521739
6,2000-07-01,,102.04204204204204,,101.62552679108971,,103.68879946344735,,102.19092331768387,,102.91173794358505,,97.1875,,101.27077223851417,,98.62280030604438,,102.83232628398791,,110.69565217391303
7,2000-08-01,,102.22222222222221,,101.92655027092114,,102.74983232729711,,102.66040688575899,,102.82074613284804,,97.60416666666667,,101.46627565982405,,98.62280030604438,,102.60574018126887,,107.65217391304347
8,2000-09-01,,102.76276276276275,,101.98675496688743,,104.09121395036887,,103.01251956181534,,103.18471337579618,,95.9375,,101.56402737047898,,99.08186687069626,,103.77643504531721,,112.3478260869565
9,2000-10-01,,103.18318318318317,,102.10716435881999,,103.75586854460093,,103.32550860719876,,103.73066424021837,,96.97916666666666,,101.56402737047898,,98.85233358837031,,103.09667673716012,,112.69565217391305
10,2000-11-01,,103.42342342342342,,102.16736905478628,,103.9570757880617,,103.56025039123631,,104.18562329390355,,96.14583333333333,,101.56402737047898,,98.85233358837031,,104.3429003021148,,112.3478260869565
11,2000-12-01,,103.78378378378379,,102.64900662251657,,104.02414486921529,,103.91236306729266,,104.6405823475887,,96.875,,101.66177908113391,,98.77582249426166,,103.6631419939577,,113.13043478260869
12,2001-01-01,4.8048048048048075,104.8048048048048,2.8898254063816964,102.8898254063817,4.225352112676073,104.22535211267608,4.538341158059467,104.53834115805947,5.004549590536844,105.00454959053684,-2.8125000000000067,97.1875,1.7595307917888547,101.75953079178885,-0.9946442234123776,99.00535577658762,4.229607250755274,104.22960725075528,17.391304347826097,117.3913043478261
13,2001-02-01,4.542737597130908,105.04504504504504,2.9994001199760145,103.37146297411198,3.4666666666666623,104.09121395036887,4.60038986354776,104.96870109546165,4.891304347826075,105.36851683348499,-1.5839493136219684,97.08333333333333,1.7578125,101.8572825024438,-0.613496932515345,99.1583779648049,3.937007874015741,104.68277945619336,12.878787878787868,116.6086956521739
14,2001-03-01,4.531902206320826,105.28528528528528,3.052064631956908,103.6724864539434,0.390625,103.42052313883299,4.540162980209539,105.39906103286386,4.959422903516675,105.91446769790718,-0.5307855626326963,97.60416666666667,1.4605647517039966,101.8572825024438,-0.6139677666922583,99.08186687069626,3.584764749813285,104.75830815709968,5.953338696701516,114.52173913043478
15,2001-04-01,4.466944609886836,105.34534534534534,3.229665071770338,103.91330523780854,1.775147928994092,103.82293762575455,4.643962848297223,105.79029733959311,4.937163375224407,106.36942675159236,-0.5330490405117239,97.1875,2.1442495126705596,102.4437927663734,-1.2326656394453184,98.08722264728385,3.459698196540306,106.15558912386706,9.429280397022332,115.04347826086958
16,2001-05-01,4.634581105169322,105.76576576576575,3.0393325387365833,104.09391932570742,3.6842105263157787,105.700871898055,4.668209876543217,106.14241001564946,5.004468275245744,106.91537761601455,-0.8537886872998945,96.77083333333334,1.747572815533971,102.4437927663734,-1.7733230531996824,97.4751338944147,3.6666666666666625,105.70241691842898,15.333333333333332,120.34782608695653
17,2001-06-01,4.491725768321531,106.18618618618618,3.2738095238095344,104.45514750150512,1.4838709677419404,105.49966465459424,4.648482520169028,106.57276995305163,4.880212954747121,107.55232029117379,0.5399568034557323,96.97916666666666,1.2572533849129597,102.34604105571847,-1.4694508894044889,97.4751338944147,4.304267161410036,106.15558912386706,7.965299684542604,119.04347826086956
18,2001-07-01,4.061212477928189,106.18618618618618,3.1398104265402793,104.81637567730282,-0.388098318240615,103.28638497652582,4.441041347626351,106.72926447574336,4.951370468611849,108.00727934485896,0.3215434083601254,97.5,1.254826254826269,102.54154447702834,-1.241272304111718,97.39862280030606,4.9944913698126925,107.96827794561932,1.806755695208162,112.69565217391305
19,2001-08-01,4.054054054054057,106.36636636636636,3.071470761961015,105.05719446116797,0.13054830287206887,102.8839704896043,4.5350609756097615,107.31611893583725,5.663716814159292,108.6442220200182,-0.2134471718249764,97.39583333333334,1.2524084778420042,102.73704789833822,-1.9394879751745586,96.71002295332825,4.306220095693769,107.02416918429,2.8271405492730217,110.69565217391303
20,2001-09-01,3.4482758620689724,106.30630630630631,3.1286894923258535,105.17760385310054,0.5154639175257714,104.62776659959758,4.51955943790352,107.66823161189359,5.820105820105814,109.1901728844404,1.0857763300760048,96.97916666666666,1.3474494706448459,102.9325513196481,-2.857142857142858,96.25095638867637,4.767103347889368,108.72356495468276,1.3157894736842257,113.82608695652175
21,2001-10-01,2.968568102444702,106.24624624624626,3.3608490566037874,105.53883202889827,-1.163542340012913,102.54862508383636,4.619462324876933,108.09859154929578,5.8771929824561475,109.82711555959963,0.5370569280343629,97.5,1.4436958614052031,103.03030303030305,-2.631578947368418,96.25095638867637,4.615384615384621,107.85498489425981,-5.169753086419748,106.86956521739131
22,2001-11-01,3.077816492450647,106.60660660660662,3.3588685916323024,105.59903672486455,-3.0967741935483906,100.73775989268947,4.797884397431051,108.52895148669796,5.938864628820961,110.37306642402183,1.0834236186348933,97.1875,1.7324350336862304,103.32355816226783,-2.941176470588225,95.94491201224179,4.705030763662688,109.25226586102718,-9.520123839009276,101.65217391304348
23,2001-12-01,2.951388888888884,106.84684684684684,2.75659824046921,105.47862733293196,-3.803997421018701,100.06706908115359,4.743975903614439,108.84194053208138,5.652173913043468,110.5550500454959,0.43010752688172893,97.29166666666667,1.538461538461533,103.2258064516129,-3.253292021688603,95.56235654169856,4.480874316939887,108.30815709969788,-12.451960030745568,99.04347826086956
24,2002-01-01,2.177650429799427,107.0870870870871,2.8671737858396718,105.8398555087297,-3.925353925353925,100.13413816230718,4.7155688622754655,109.46791862284822,5.892547660311953,111.19199272065514,0.1071811361200492,97.29166666666667,1.5369836695485084,103.32355816226783,-3.863987635239563,95.17980107115534,4.166666666666674,108.57250755287009,-15.407407407407403,99.30434782608695
25,2002-02-01,2.1726700971983925,107.32732732732732,2.6208503203261513,106.08067429259482,-4.188144329896904,99.73172367538564,4.509877003354434,109.70266040688574,6.303972366148525,112.01091901728843,-0.10729613733906351,96.97916666666666,1.6314779270633517,103.51906158357774,-3.8580246913580196,95.33282325937262,4.653679653679665,109.55438066465257,-15.361670395227433,98.69565217391305
26,2002-03-01,2.110667427267532,107.50750750750751,2.5551684088269466,106.32149307645997,-2.399481193255504,100.93896713615025,4.454342984409809,110.09389671361502,6.2714776632302405,112.55686988171065,-1.8143009605122717,95.83333333333334,1.7274472168905985,103.61681329423264,-3.2432432432432434,95.86840091813313,3.893294881038223,108.83685800604228,-10.70615034168565,102.26086956521738
27,2002-04-01,2.3375142531356863,107.8078078078078,2.491309385863283,106.50210716435882,-1.4857881136950968,102.28034875922201,4.548816568047331,110.60250391236306,6.330196749358419,113.10282074613285,-2.250803858520889,95.0,1.4312977099236734,103.91006842619745,-2.4180967238689455,95.71537872991584,4.055496264674474,110.46072507552869,-8.163265306122458,105.65217391304347
28,2002-05-01,2.1010789324247714,107.98798798798799,2.0242914979757165,106.2010836845274,-3.045685279187804,102.48155600268278,4.64430519719865,111.07198748043818,6.297872340425537,113.64877161055504,-1.076426264800856,95.72916666666667,1.335877862595436,103.81231671554252,-2.197802197802201,95.33282325937262,4.072883172561648,110.00755287009063,-11.92196531791907,106.0
29,2002-06-01,1.8099547511312153,108.10810810810811,1.729106628242083,106.2612883804937,-2.8607755880483143,102.48155600268278,4.478707782672564,111.3458528951487,6.345177664974622,114.37670609645131,-1.396348012889359,95.625,1.3371537726838412,103.71456500488759,-2.7472527472527486,94.7972456006121,4.7314123087868865,111.17824773413896,-11.176040905770645,105.7391304347826
30,2002-07-01,1.9230769230769162,108.22822822822822,1.493394600804132,106.38169777242625,-0.4545454545454519,102.81690140845072,4.985337243401755,112.05007824726134,6.486941870261176,115.01364877161055,-1.0683760683760646,96.45833333333333,1.143946615824576,103.71456500488759,-2.985074626865669,94.49120122417752,3.008044770898932,111.21601208459214,-5.5555555555555465,106.43478260869566
31,2002-08-01,2.032749858836813,108.52852852852853,1.2607449856733455,106.38169777242625,0.39113428943937656,103.28638497652582,4.702880058330283,112.36306729264476,6.365159128978215,115.55959963603274,-0.3208556149732589,97.08333333333333,1.141769743101806,103.91006842619745,-1.6613924050633,95.10328997704669,4.481298517995791,111.82024169184291,-3.2992930086410133,107.04347826086955
32,2002-09-01,2.3163841807909646,108.76876876876878,1.3165426445334916,106.5623118603251,-1.1538461538461608,103.42052313883299,4.687500000000022,112.71517996870111,6.4166666666666705,116.19654231119199,-0.6444683136412444,96.35416666666666,0.9496676163342821,103.91006842619745,-1.9077901430842537,94.41469013006886,3.2302882945467237,112.23564954682779,-5.500381970970203,107.56521739130436
33,2002-10-01,2.6003391746749482,109.009009009009,0.96976611523103,106.5623118603251,1.7004578155657146,104.29242119382964,4.885993485342022,113.38028169014085,6.213753106876552,116.65150136487713,-1.4957264957264904,96.04166666666667,1.0436432637571214,104.10557184750732,-2.225755166931631,94.10864575363429,3.4313725490195957,111.5558912386707,3.2546786004882033,110.34782608695653
34,2002-11-01,2.5352112676056304,109.30930930930931,1.1972633979475455,106.86333534015652,3.462050599201083,104.22535211267608,4.974765681326598,113.92801251956182,6.18301731244848,117.19745222929936,-1.6077170418006381,95.625,0.7568590350047311,104.10557184750732,-1.8341307814992103,94.18515684774292,2.212236432768755,111.66918429003022,8.383233532934131,110.17391304347825
35,2002-12-01,2.473299606520518,109.48948948948949,1.4269406392694028,106.9837447320891,4.08847184986596,104.15828303152249,4.996405463695197,114.28012519561817,6.419753086419755,117.65241128298453,-1.7130620985010836,95.625,1.1363636363636465,104.39882697947213,-1.7614091273018384,93.87911247130835,3.207810320781035,111.78247734138974,11.589113257243188,110.52173913043477
36,2003-01-01,2.579921480650582,109.84984984984985,1.0807736063708662,106.9837447320891,5.827193569993283,105.96914822266936,4.610436025732656,114.51486697965572,6.546644844517169,118.47133757961781,-1.4989293361884481,95.83333333333334,1.1352885525071077,104.4965786901271,-1.8488745980707488,93.42004590665647,3.200000000000003,112.04682779456192,16.900175131348515,116.08695652173913
37,2003-02-01,2.6301063234471345,110.15015015015015,1.4188422247445986,107.58579169175195,8.137188971082733,107.84708249496984,4.493580599144087,114.63223787167449,6.336311941510986,119.10828025477707,-1.2889366272824776,95.72916666666667,1.1331444759206777,104.69208211143695,-2.2471910112359494,93.19051262433054,2.5163736642536794,112.31117824773413,24.05286343612336,122.43478260869567
38,2003-03-01,2.9050279329608797,110.63063063063063,1.3590033975084959,107.76640577965082,6.843853820598023,107.84708249496984,4.264392324093813,114.7887323943662,6.3864187550525475,119.7452229299363,-0.7608695652173925,95.10416666666667,1.132075471698113,104.78983382209188,-3.6711891460494805,92.34889058913544,3.0881332408050133,112.19788519637464,22.36394557823129,125.1304347826087
39,2003-04-01,2.506963788300842,110.5105105105105,1.2436404748445318,107.8266104756171,3.409836065573768,105.76794097920859,3.997170145030071,115.02347417840375,6.436041834271933,120.38216560509554,-0.7675438596491224,94.27083333333334,0.7525870178739291,104.69208211143695,-3.83693045563549,92.04284621270085,1.777777777777767,112.42447129909365,12.34567901234569,118.69565217391305
40,2003-05-01,2.6696329254727313,110.87087087087086,1.7006802721088343,108.00722456351596,1.0471204188481575,103.55466130114017,3.980274744628387,115.49295774647888,6.485188150520416,121.01910828025477,-2.2850924918389692,93.54166666666667,1.1299435028248705,104.98533724340177,-3.6918138041733495,91.8133129303749,2.2313765877102654,112.46223564954683,6.1525840853158265,112.5217391304348
41,2003-06-01,2.5555555555555554,110.87087087087086,2.1529745042492943,108.54906682721253,1.1780104712041828,103.68879946344735,4.04075895994378,115.84507042253523,6.284805091487655,121.56505914467697,-2.8322440087145906,92.91666666666667,1.3195098963242335,105.08308895405669,-2.6634382566586012,92.27237949502678,1.2228260869565188,112.53776435045317,6.743421052631593,112.86956521739131
42,2003-07-01,2.6082130965593864,111.05105105105106,2.093944538766279,108.6092715231788,1.5655577299412693,104.42655935613683,3.8407821229050176,116.35367762128325,6.25,122.20200181983623,-3.4557235421166177,93.125,1.5080113100848447,105.27859237536657,-1.9433198380566896,92.65493496557,1.5619694397283501,112.95317220543808,8.006535947712411,114.95652173913042
43,2003-08-01,2.490315439955726,111.23123123123122,2.4900962082625933,109.0307043949428,2.7272727272727115,106.10328638497653,3.8649025069637855,116.7057902973396,7.007874015748028,123.65787079162875,-4.506437768240346,92.70833333333334,1.3170272812794037,105.27859237536657,-2.8157683024939706,92.42540168324408,1.2495778453225137,113.21752265861026,11.941510966693759,119.82608695652175
